source	name	info	link	lat	long	country	EU_region	typeOPB	typeDOPB	typeBfO	typeCB_OS	type_other	crop_arable	crop_forage	crop_vegetable	crop_fruit_grape	crop_other
ECO-PB	AEGILOPS	AEGILOPS works on preservation-recultivation of local varieties/heritage crops and the development of varieties and seeds adapted to local conditions and organic farming.  Varieties from several crops are being evaluated  and selected under organic  participatory breeding schemes in various regions. AEGILOPS,also, has close collaboration with Greek gene Bank, universities and research institutes focusing on on-farm conservation and organic plant breeding.	http://www.aegilops.gr/en	39.3276318	23.0489457	Greece	SE	OPB	NOT	NOT	NOT	NOT	arable	NOT	vegetable	fruit_grape	other
AGES 	AGES - Austrian Agency for Health and Food Safety Ltd.	AGES has been performing variety trials in organic farming since 1996. In 2002 organic VCU-testing in winter wheat started. In 2019 organic VCU-trials and additional non-VCU organic trials were performed at the following species: winter barley, winter rye, winter triticale, winter wheat, winter spelt wheat, spring common wheat, spring oat and potatoe. 	https://www.ages.at/en/ages/basics/	NA	NA	Austria	CE	NOT	NOT	NOT	NOT	NOT	NA	NA	NA	NA	NA
Eucarpia symposium	Agribosco	In collaboration with the Institute of Cereal Cultivation in Foggia and other private research centres, we have been conducting a study for 16 years on two populations of emmer (Triticum dicoccum) from the valleys of Gubbio and the surrounding area (PG), einkorn  (Triticum monococcum) and khorassan wheat (Triticum turanicum). 	https://www.agribosco.com/	43.3330851	12.7339929	Italy	SE	NOT	NOT	NOT	NOT	other	arable	NOT	NOT	NOT	NOT
Survey	AGRICOLA VILLENA COOP.V.	Recovery of traditional varieties. Improvement of the organoleptic characteristics of our products Varietal diversity. Improvement of adaptation to our growing conditions.	http://www.agricolavillena.es/	38.6369184	-0.8787420	Spain	SE	NOT	NOT	BfO	NOT	NOT	NOT	NOT	NOT	NOT	other
Dementer	Agrimondo	Agrimondo was fouded in Romania in 2007, based on the big demand on behalf of wellknown firms which produced organic fodder and organic alimentaryproducts and which wanted to obtain their raw materials directlyfrom the fields. They are involved in organic plant breeding.	http://www.agrimondo.eu/	NA	NA	Romania	EE	NOT	NOT	NOT	NOT	NOT	NA	NA	NA	NA	NA
Survey	Agrogreen Service Srl	NA	http://www.agrogreenservice.com/	NA	NA	Italy	SE	NOT	NOT	NOT	NOT	NOT	NA	NA	NA	NA	NA
ECO-PB, LIVESEED	Agrologica	The key topic for Agrologica is organic seed production, in particular conservation of plant genetic resources, plant breeding, seed health and seed vigour, but we have also implementet projects related to relation between agricultural politics and environmental effects of production. However, with our long experience within organic farming and with our fine network within the sector, we are able to assist in all areas of the sector including trade, certification and production. Agrologica is involved in a number of projects, which along with a list of publications gives an impression of the expertise in the company. 	http://www.agrologica.dk/	56.6603265	10.0151707	Denmark	NE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
FiBL	Agroscope 	Fruit Breeding (Apple and Apricot) The goal of apple breeding is to obtain fruit with outstanding fruit and tree quality. We develop apple varieties which can be easily cultivated, in an environmentally sound manner. Also Soybean breeding, wheat breeding for organic.	https://www.agroscope.admin.ch/agroscope/en/home/about-us/organization/competence-divisions-strategic-research-divisions/plant-breeding.html	47.3003671	8.0943020	Switzerland	CE	NOT	NOT	BfO	NOT	NOT	arable	NOT	vegetable	fruit_grape	NOT
FiBL	Agroscope Forage Breading	"Breeding of Forage Grasses and Clover Species
The aims of diverse forage growing as the central component of sustainable production systems can only be achieved by using locally adapted, competitive, perennial varieties that are resistant to the main pests."	https://www.agroscope.admin.ch/agroscope/en/home/about-us/organization/competence-divisions-strategic-research-divisions/plant-breeding.html	47.3003671	8.0943020	Switzerland	CE	OPB	NOT	NOT	NOT	NOT	NOT	forage	NOT	NOT	NOT
Survey	Akdeniz university 	NA	http://eng.akdeniz.edu.tr/	36.8945378	30.6531643	Turkey	NA	OPB	NOT	BfO	NOT	NOT	NOT	NOT	NOT	NOT	other
Demeter	Arcoiris	The main commitment of Arcoiris is to multiply and select vegetable varieties, suitable for both the Italian and Mediterranean climate. They are meant for the biodynamic and organic cultivation systems. The company develops open pollinated varieties.They are meant for the biodynamic and organic cultivation systems. Committed to the recovering of ancient Italian varieties. Arcoiris is the only Italian seed company having registered two ancient varieties (the anguria di Faenza – watermelon and the sedano gigante di Romagna – celery). 	http://www.arcoiris.it/en/home	44.6522455	10.8787409	Italy	SE	OPB	NOT	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
Survey	azad university	NA	tnbu.ac.ir	NA	NA	Iran	NA	NOT	NOT	NOT	NOT	NOT	NA	NA	NA	NA	NA
Eucarpia symposium	Bayerische Landesanstalt für Landwirtschaft - LfL	Breeding of maize, soybean, potato, wheat,  with interest in organic 	http://www.lfl.bayern.de/	48.3768388	11.7814181	Germany	CE	OPB	NOT	BfO	NOT	NOT	arable	NOT	NOT	NOT	NOT
ECO-PB	Bejo Seeds	Bejo is an internationally operating plant breeding company which develops new vegetable varieties. In their breeding program they also include requirements for the organic market. They have been  working  since the early 1990s  to  offer  a  wide  range  of  organically  produced vegetable seeds, which fully meet the organic seed requirements as recognized by all European certification bodies. Currently, they are investing a lot of effort in widening their range.	https://www.bejo.com/organic-right-start	52.726604	4.7338190	Netherlands	CE	NOT	NOT	BfO	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
ECO-PB	Bioimpuls,  Louis Bolk Instituut & Wageningen University & Research	The Bioimpuls potato breeding program deals with 40,000 seedlings a year, divided over the central breeding program and the associated farmer breeders and breeding companies.In the breeding program, next to late blight resistance, extra attention is paid to the traits: nitrogen efficiency, early maturity, tuber dormancy, and resistance against early blight, potato virus Y, black scurf, silver scurf and taste by using specific crossings parents. 	https://www.wur.nl/en/Research-Results/kennisonline/Bioimpuls-2.htm	52.061812	5.1539335	Netherlands	CE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
Survey	Bioversity International	Working on on-farm testing of advanced breeding products and recently released varieties, in order to generate location-specific variety recommendations and adjust breeding product profiles (breeding priorities).	www.bioversityinternational.org	41.8785741	12.2371357	Italy	SE	NOT	DOPB	NOT	NOT	NOT	NOT	NOT	NOT	NOT	other
